session_year,caption,party,n_over_side,crossing,data,Legislator,Gender,Residence,id,seat
1860,"<strong>1860</strong> <span style = ""color:#377EB8"">Democrats</span> have 7 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
</tbody>
</table>",Democrat,-7,NA,majority,NA,NA,NA,NA,NA
1862,"<strong>1862</strong> <span style = ""color:#E41A1C"">Republicans</span> have 16 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,-0,NA,majority,NA,NA,NA,NA,NA
1864,"<strong>1864</strong> <span style = ""color:#E41A1C"">Republicans</span> have 14 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 5 </td>
  </tr>
</tbody>
</table>",Democrat,-0,NA,majority,NA,NA,NA,NA,NA
1866,"<strong>1866</strong> <span style = ""color:#E41A1C"">Republicans</span> have 0.5 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Unknown Affiliation </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",Democrat,-0,NA,majority,NA,NA,NA,NA,NA
1868,"<strong>1868</strong> <span style = ""color:#377EB8"">Democrats</span> have 1.5 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 23 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 18 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Unknown Affiliation </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
</tbody>
</table>",Democrat,-1.5,NA,majority,NA,NA,NA,NA,NA
1870,"<strong>1870</strong> <span style = ""color:#377EB8"">Democrats</span> have 4.5 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 28 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
</tbody>
</table>",Democrat,-4.5,NA,majority,NA,NA,NA,NA,NA
1872,"<strong>1872</strong> <span style = ""color:#E41A1C"">Republicans</span> have 7.5 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 32 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 17 </td>
  </tr>
</tbody>
</table>",Democrat,-0,NA,majority,NA,NA,NA,NA,NA
1874,"<strong>1874</strong> Neither party has a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 14 </td>
  </tr>
</tbody>
</table>",Democrat,-0,NA,majority,NA,NA,NA,NA,NA
1876,"<strong>1876</strong> <span style = ""color:#377EB8"">Democrats</span> have 3 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 25 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
</tbody>
</table>",Democrat,-3,NA,majority,NA,NA,NA,NA,NA
1878,"<strong>1878</strong> <span style = ""color:#377EB8"">Democrats</span> have 3 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Unknown Affiliation </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,-3,NA,majority,NA,NA,NA,NA,NA
